"Date","Holiday.Name","Day"
2022-01-03,"New Years Day (observed)","Monday"
2022-01-04,"Day after New Years Day (observed)","Tuesday"
2022-02-06,"Waitangi Day","Sunday"
2022-02-07,"Waitangi Day (observed)","Monday"
2022-04-15,"Good Friday","Friday"
2022-04-18,"Easter Monday","Monday"
2022-04-25,"Anzac Day","Monday"
2022-06-06,"Queens Birthday","Monday"
2022-06-24,"Matariki","Friday"
2022-09-26,"Queen Elizabeth II Memorial Day","Monday"
2022-10-24,"Labour Day","Monday"
2022-12-25,"Christmas Day","Sunday"
2022-12-26,"Boxing Day","Monday"
2022-12-27,"Christmas Day (observed)","Tuesday"
2023-01-01,"New Years Day","Sunday"
2023-01-02,"Day after New Years Day","Monday"
2023-01-03,"New Years Day (observed)","Tuesday"
2023-02-06,"Waitangi Day","Monday"
2023-04-07,"Good Friday","Friday"
2023-04-10,"Easter Monday","Monday"
2023-04-25,"Anzac Day","Tuesday"
2023-06-05,"Kings Birthday","Monday"
2023-07-14,"Matariki","Friday"
2023-10-23,"Labour Day","Monday"
2023-12-25,"Christmas Day","Monday"
2023-12-26,"Boxing Day","Tuesday"
2024-01-01,"New Years Day","Monday"
2024-01-02,"Day after New Years Day","Tuesday"
2024-02-06,"Waitangi Day","Tuesday"
2024-03-29,"Good Friday","Friday"
2024-04-01,"Easter Monday","Monday"
2024-04-25,"Anzac Day","Thursday"
2024-06-03,"Kings Birthday","Monday"
2024-06-28,"Matariki","Friday"
2024-10-28,"Labour Day","Monday"
2024-12-25,"Christmas Day","Wednesday"
2024-12-26,"Boxing Day","Thursday"
2025-01-01,"New Years Day","Wednesday"
2025-01-02,"Day after New Years Day","Thursday"
2025-02-06,"Waitangi Day","Thursday"
2025-04-18,"Good Friday","Friday"
2025-04-21,"Easter Monday","Monday"
2025-04-25,"Anzac Day","Friday"
2025-06-02,"Kings Birthday","Monday"
2025-06-20,"Matariki","Friday"
2025-10-27,"Labour Day","Monday"
2025-12-25,"Christmas Day","Thursday"
2025-12-26,"Boxing Day","Friday"
2026-01-01,"New Years Day","Thursday"
2026-01-02,"Day after New Years Day","Friday"
2026-02-06,"Waitangi Day","Friday"
2026-04-03,"Good Friday","Friday"
2026-04-06,"Easter Monday","Monday"
2026-04-25,"Anzac Day","Saturday"
2026-04-27,"Anzac Day (observed)","Monday"
2026-06-01,"Kings Birthday","Monday"
2026-07-10,"Matariki","Friday"
2026-10-26,"Labour Day","Monday"
2026-12-25,"Christmas Day","Friday"
2026-12-26,"Boxing Day","Saturday"
2026-12-28,"Boxing Day (observed)","Monday"
